List of Valid Insurance Brokers as on 15.05.2021,,,,,,,,,,
Sl No,"Certificate of 
Registration No.",,Name of the Broker,Address,Phone No,Category of Broker,Principal Officer,Validity of license,,PO E-Maild Id
16,120,,Marsh India Insurance Brokers Pvt. Ltd,"1201-02,Tower 2,One World Center, Jupiter mills compound,senapati bapat marg  Elphinstone Road(W) MUMBAI MUMBAI 400013",2266512900,Composite Broker,Sanjay Kedia,03-Mar-2021,02-Mar-2024,po.marsh@marsh.com
17,121,,Mathrawala & Sons Insurance Brokers Pvt. Ltd.,"701/702, Swastik Chambers, C.S.T. Road,  Chembur, MUMBAI MUMBAI 400071",2266701900,Reinsurance Broker,"MR. BIPIN H, MATHRAWALA",03-Mar-2021,02-Mar-2024,po_mathsons@mathsons.com
18,122,,M.B. Boda Reinsurance Brokers Pvt.Ltd.,134-136/C MITTAL COURT C-WING NARIMAN POINT 134-136/C MITTAL COURT C-WING NARIMAN POINT  SAME MUMBAI MUMBAI 400021,9820075279,Reinsurance Broker,KETAN MUGATLAL BODA,03-Mar-2021,02-Mar-2024,po_mbbodare@mbbodarebrokers.com
19,123,,Lambach Insurance Brokers Pvt. Ltd.,"A/701, Trade World, ills Compound, Senapati Bapat Margh, Lower Perel ( west ),  Mumbai MUMBAI MUMBAI 400013",+91-22-66824710,Direct Broker (Life & General),Srinivas Reddy N,03-Mar-2021,02-Mar-2024,po_lambach@lambach.in
20,124,,Strategic Insurance Broking Services Pvt. Ltd,"ROAD NO 212E, ROAD NO 76 JUBILEE HILLS  HYDERABAD HYDERABAD HYDERABAD 500096",8885645244,Direct Broker (General),TANVEERUNNISA TARANNUM,03-Mar-2021,02-Mar-2024,po_strategic@stratinsure.com
21,125,,Alankit Insurance Brokers Ltd,205-208 Anarkali Complex  Jhandewalan Extension NEW DELHI CENTRAL DELHI 110055,9582200633,Direct Broker (Life & General),Dhan Pal Jain,03-Mar-2021,02-Mar-2024,po_alankitinsurance@alankit.com
22,126,,Alegion Insurance Broking Ltd.,NEW NO. 7C PERUMAL KOIL STREET NERKUNDRAM   CHENNAI CHENNAI 600107,9345012518,Direct Broker (Life & General),K MADHAVAN,03-Mar-2021,02-Mar-2024,po_alegion@alegion.net
23,127,,Kadel Insurance Brokers Pvt. Ltd.,Flat No 402 4th floor Mogul Apartments  Deccan towers Basheerbagh HYDERABAD HYDERABAD 500001,9440058885,Direct Broker (General),RAJESH KABRA,03-Mar-2021,02-Mar-2024,po_kadel@yahoo.com
24,130,,S&S General Insurance Brokers (India) Ltd.,Flat No.6 II Floor 'Balaji Enclave' 6/10 United India Colony 3rd Cross Street  Kodambakkam CHENNAI CHENNAI 600024,4424836713,Direct Broker (General),U SINGARAVELU,10-Mar-2021,09-Mar-2024,po_snsgib@rediffmail.com
25,133,,J.B.Boda Insurance & Reinsurance Brokers Pvt Ltd,Maker Bhavan  No 1 Sir V T Marg  Mumbai MUMBAI MUMBAI 400020,2266314949,Composite Broker,Mr.Ojas Majmudar,17-Mar-2021,16-Mar-2024,po_jbbrib@jbbodamail.com
26,134,,Narnolia Insurance Brokers Ltd.,"236B AJC BOSE ROAD  ROOM 201, MARBLE ARCH KOLKATA KOLKATA 700020",3340501500,Direct Broker (Life & General),ABHIJIT RAY,20-Mar-2021,19-Mar-2024,rdebnath@narnolia.com
27,135,,Corporate Risks India Insurance Brokers Pvt Ltd.,TWO FOUR SIX DLF SOUTH COURT MALL  SAKET     110017,9810055545,Composite Broker,AJAY C DADWAL,20-Mar-2021,19-Mar-2024,po_cri@cri.co.in
28,137,,Dossa Insurance and Broking Services Ltd.,DOSSA MANSION 4TH FLOOR SIR PM ROAD FORT MUMBAI  400001 MUMBAI MUMBAI 400001,2222664773,Direct Broker (General),MONISHA DOSSA,01-Apr-2021,31-Mar-2024,ngdossa51@gmail.com
29,139,,EMBEE INSURANCE BROKERS PRIVATE LTD,SCO 2935-36 1st Floor  Sector 22 CHANDIGARH CHANDIGARH 160022,1722706565,Direct Broker (Life & General),ARUN KOHLI,01-Apr-2021,31-Mar-2024,po.embeechd@gmail.com
30,141,,Hindustan Insurance Brokers Ltd.,117/489 Pandu Nagar  Opp. J K Temple Gate KANPUR KANPUR 208005,9810426040,Direct Broker (Life & General),Deepak Kumar,04-Apr-2021,03-Apr-2024,po_hibl@hibl.in
31,142,,Sanguine Insurance Brokers Pvt. Ltd.,105 first Floor AMBA Tower D C Chowk  Sector 9 Rohini Delhi 110085 DELHI NORTH DELHI 110085,9810050929,Direct Broker (General),NARENDRA BANSAL,04-Apr-2021,03-Apr-2024,sanguine_2008@yahoo.com
32,143,,Salasar Services Insurance Brokers Pvt. Ltd.,"23 A, Netaji Subhas Road, 6th Floor, Room No. 14 Kolkata   KOLKATA KOLKATA 700001",9830141236,Composite Broker,Arvind Kumar Khaitan,04-Apr-2021,03-Apr-2024,po_salasarservices@salasarservices.com
33,144,,GlobeSecure Insurance Brokers Private Limited,PENINSULA BUSINESS PARK SENAPATI BAPAT MARG  LOWER PAREL (W) MUMBAI MUMBAI 400013,9867554477,Direct Broker (Life & General),SUMIT BOHRA,07-Apr-2021,06-Apr-2024,po_gsibpl@globesecure.co.in
34,145,,EMEDLIFE Insurance Broking Services Ltd.,"Emedlife Insurance Broking Services Limited 505 & 506 Elegance Tower,  Jasola NEW DELHI NEW DELHI 110075",8826692953,Direct Broker (Life & General),Rachit Khanna,31-Mar-2021,30-Mar-2024,PO_EMEDLIFE@EMEDLIFE.IN
35,146,,Aditya Birla Insurance Brokers Ltd.,Indian Rayon Compound Veraval       362266,2876243257,Composite Broker,DR. SANDEEP DADIA,10-Apr-2021,09-Apr-2024,po_abibl@adityabirlacapital.com
36,147,,Rajkrishna Ins. Broker Pvt. Ltd.,211 TO 213 NEW ASHIRWAD SQUARE NEAR SOSYO CIRCLE  UDHNA MAGDALLA ROAD SURAT SURAT 395017,9825133884,Direct Broker (Life & General),RAJIV DESAI,15-Apr-2021,14-Apr-2024,po_rajkrishnabroker@rajkrishnainsurance.com
37,148,,AIMS Insurance Broking Pvt. Ltd.,"19/458/21, II Floor, Global Plaza, Vanchuikulam Road,  Poothole PO THRISSUR THRISSUR 680004",9443329370,Direct Broker (Life & General),S MALINI,15-Apr-2021,14-Apr-2024,po.aimstrichur@gmail.com
38,149,,Unison Ins. Broking Services Pvt. Ltd.,"601,602, 6th Floor, ‘AURUM’ Near Vasna Hp Petrol Pump  Makrand Desai Road VADODARA VADODARA 390015",9898295111,Composite Broker,BIRAJ KUMAR SINHA,15-Apr-2021,14-Apr-2024,po_unison@unisoninsurance.net
39,150,,Probus Insurance Broker Private Limited,"7A, 7TH FLOOR GOPALA TOWER, RAJENDRA PLACE,  NEW DELHI NEW DELHI NEW DELHI 110008",9359580004,Direct Broker (Life & General),TRUPTI BALASUBRAMANIAM,16-Apr-2021,15-Apr-2024,po@probusinsurance.in
40,151,,Symbo India Insurance Broking Private Limited,"D 310 Kanakia Zillion LBS MArg, CST Junction Road, BKC annexe  Kurla West MUMBAI MUMBAI 400070",9920845871,Composite Broker,Anik Jain,22-Apr-2021,21-Apr-2024,po.symbo@symboinsurance.com
41,152,,Interlink Insurance & Reinsurance Brokers Pvt. Ltd.,"501, Sai InfoTech, Patel Chowk, R.B. Mehta Road, Ghatkopar (East),  Mumbai - 400077 MUMBAI MUMBAI 400077",2267340000,Composite Broker,CA. HARSHADRAI PURUSHOTTAM PAREKH,24-Apr-2021,23-Apr-2024,po_interlink@interlinkre.com
42,153,,RR Insurance Brokers Pvt. Ltd.,"412-422, 4th Floor Indraprakash Building  21, Barakhamba Road NEW DELHI CENTRAL DELHI 110001",1123354802,Direct Broker (General),MINU TANDON,25-Apr-2021,24-Apr-2024,po_rrinsurance@rrfcl.com
43,154,,Aastha Insurance Brokers Pvt. Ltd.,807 AGARWAL B2B CENTRE KANCHPADA ORLEM  MALAD WEST MALAD WEST MUMBAI 400064,9821631474,Direct Broker (General),DIVAKAR RAO,02-May-2021,01-May-2024,po_aasthainsurance@hotmail.com
44,156,,Premium Insurance Brokers Pvt Ltd,B-5 SHIVA CHAMBERS  NIMRI SHOPPING CENTRE DELHI NORTH DELHI 110052,8802027375,Direct Broker (Life & General),MANOJ BHATIA,07-May-2021,06-May-2024,po_pib@rediffmail.com
45,158,,JK Insurance Brokers Limited,LINK HOUSE4TH FLOOR 3 BAHADUR SHAH ZAFAR MARG   NEW DELHI NEW DELHI 110002,9818553910,Composite Broker,Anuraag kaul,14-May-2021,13-May-2024,po_jkrmibl@jkmail.com
46,162,,Vulcan Int. Insurance Brokers Ltd.,"29/30, SNS PLAZA, 41, KUMARAKRUPA ROAD,  BANGALORE BANGALORE BANGALORE 560001",9900180849,Direct Broker (Life & General),Shobha S,16-May-2018,15-May-2021,vulcaninsbrokers@yahoo.co.in
47,164,,Link-K Ins. Broker Co. Pvt. Ltd.,NO 363 BHARATHIYAR ROAD   COIMBATORE NORTH COIMBATORE 641044,9843074747,Direct Broker (General),V.P. MOIHANKUMAR,29-May-2021,28-May-2024,po_linkkinsurancebroker@yahoo.in
48,166,,Mercury Insurance Brokers Pvt. Ltd,"A-15, Milap Nagar,Uttam Nagar, Delhi        ",9871455974,Direct Broker (Life & General),Santosh Singh,30-May-2018,29-May-2021,manishsinha@mercuryinsurance.in
49,167,,Choice Insurance Broking India Private Limited,"Choice House Shree Shakambhari Corporate Park,, Plot No. 156  Chakrvarti Ashok Complex,, J B Nagar, Andheri East MUMBAI MUMBAI 400099",,Direct Broker (Life & General),Vinod Kukreti,30-May-2018,29-May-2021,po.satyanins@gmail.com
50,169,,Fouress Insurance Broking Services Pvt. Ltd.,28A Journalists Colony  Jubileehills HYDERABAD HYDERABAD 500033,9390414777,Direct Broker (Life & General),Dr. Nadella Haranath,30-May-2018,29-May-2021,po_fouressinsurance@yahoo.com
51,172,,Authentic Ins. Brokers India Ltd.,"C-77, SHYAM APPARTMENTS SAROJNI MARG  C-SCHEME JAIPUR JAIPUR 302001",1414020369,Direct Broker (Life & General),POONAM SETH,09-Jun-2018,08-Jun-2021,info@authenticbrokers.com
52,174,,Peraj Ins. Brokers Pvt. Ltd.,"Parvati Building, Plot No.3, Vithal Nagar Society, JVPD Scheme, Vile Parle West, Mumbai -400049 Vile parle  Mumbai MUMBAI MUMBAI 400049",9820300403,Direct Broker (General),TUSHAR JOGENDRA THAKKER,09-Jun-2018,08-Jun-2021,tushar@peraj.com
53,175,,Anand Rathi Insurance Brokers Ltd.,"10th Floor, Regent Chambers, Jamnalal Bajaj Road, Nariman point  Mumbai - 400 021, Maharashtra MUMBAI MUMBAI 400021",2249093000,Composite Broker,SUPRIYA RATHI,09-Jun-2018,08-Jun-2021,Po_anandrathiinsurance@rathi.com
54,177,,Suraksha Insurance Brokers Pvt. Ltd.,113 Park Street 7th Floor  Poddar Point Building KOLKATA KOLKATA 700016,9831047138,Direct Broker (Life & General),SHYAMAL KUMAR BANERJEE,12-Jun-2018,11-Jun-2021,po_suraksha@surakshainsurance.com
55,178,,Deccan Insurance & Reinsurance Brokers Pvt. Ltd.,"OFFICE NO. 2206, 22ND FLOOR, HAWARE INFOTECH PARK PLOT NO 39/A, SECTOR 30A VASHI NAVI MUMBAI NIL  NIL MUMBAI CITY EAST MUMBAI 400703",+91-7738945015,Composite Broker,MR. RAVI PAI KAKODE,27-Jun-2018,26-Jun-2021,po_deccaninsurance@deccaninsurancebrokers.com
56,179,,Life & General Insurance & Reinsurance Brokers Pvt Ltd.,392-A Mahale Plot Gokhalenagar   PUNE PUNE 411016,020-25551000,Composite Broker,Indrajit Pandit,01-Jul-2018,30-Jun-2021,po_lng@lnginsurance.com
57,180,,Blue Crest Ins. Broking Pvt. Ltd.,"Govind Bhavan,6th Floor, 2, Brabourne Road   KOLKATA KOLKATA 700001",39837700,Direct Broker (Life & General),BRAJESH KUMAR DHANDHANIA,01-Jul-2018,30-Jun-2021,po_bluecrest@bluecrest.in
58,181,,VIG India Insurance Brokers Pvt Ltd.,SUIT 905 MAKER CHAMBER V  NARIMAN PONT MUMBAI MUMBAI 400021,2222845577,Direct Broker (Life & General),G. Krishnan,07-Jul-2018,06-Jul-2021,po_vigindia@vigindia.com
59,183,,Insutech Ins. Broking Services Pvt. Ltd.,"503, Abhijeet-1, Near Mithakhali Six Roads, Ellisbridge   AHMEDABAD AHMEDABAD 380006",9099969588,Direct Broker (General),SHRI K. GOVINDAN,09-Jul-2018,08-Jul-2021,po_insutech@insutech.co.in
60,187,,Safeway Ins. Brokers Pvt. Ltd.,"2 & 4 Jeevandeep Annexe 1st Floor  10, Parliment Street NEW DELHI CENTRAL DELHI 110001",9811197925,Direct Broker (Life & General),Mrs Ritu Gupta,17-Jul-2018,16-Jul-2021,safewayinsurance@hotmail.com
61,188,,Mass Ins. Brokers Pvt. Ltd.,unit no 414 Tower-c  Noida One Bilding B-8 NOIDA GAUTAM BUDDHA NAGAR 201301,9899443511,Direct Broker (General),RAJAT KUMAR BISSA,17-Jul-2018,16-Jul-2021,po_mass@hotmail.com
62,193,,Le Dieu Insurance Brokers Pvt Ltd.,"5/4 AMER COMPLEX 1ST FLOOR  M.P NAGAR, ZONE - II BHOPAL BHOPAL 462011",0755-4294493,Direct Broker (General),DHARAM PAL RUPAL,01-Aug-2018,31-Jul-2021,po_2ledieu@yahoo.com
63,194,,Nipun Ins. Brokers Pvt. Ltd.,7 Kotwal Complex 3rd floor Bhandarkar Road  Near PYC Gymkhana PUNE PUNE 411004,02025650780,Direct Broker (Life & General),Mrs. Archana Gunesh Pardeshi,01-Aug-2018,31-Jul-2021,po.nipun@gmail.com
64,195,,Satabdi Ins. Broker Ltd.,"249A, BIPIN BEHARI GANGULY STREET, 1ST FLOOR SAME  SAME CALCUTTA CALCUTTA 700012",22252469,Direct Broker (General),MR.SANJEEV JAIN,01-Aug-2018,31-Jul-2021,po_satabdi@satabdiinsurance.in
65,196,,Continental Suraksha Insurance Broking Services Pvt. Ltd.,G-15 Near Gopal Madir  Pitampura NEW DELHI NEW DELHI 110034,9810510189,Direct Broker (Life & General),Pooja Sharma Bajaj,04-Aug-2018,03-Aug-2021,info@continentalsuraksha.com
66,197,,Telos Risk Management & Ins. Broking Services (P) Ltd.,61 Udyog Bhavan Sonawala Lane  Goregaon East GOREGAON EAST MUMBAI 400063,+ 91 22 66987701/2/3,Direct Broker (General),Mr. U. Pramod Bhandary,06-Aug-2018,05-Aug-2021,po_telosrisk@telosrisk.com
67,198,,Composite Insurance Brokers & Advisors Pvt. Ltd.,201 & 208 Esteem Plaza 2nd Floor  Sadashivanagar BANGALORE BANGALORE 560080,9900111734,Direct Broker (Life & General),Satish K,06-Aug-2018,05-Aug-2021,po_ciba@compositeinsurance.in
68,199,,S & R Ins. Brokers Pvt. Ltd.,"#8-4-421/1 Flat No.503, Sarita Apartments,  Road No.4, Banjara HIlls HYDERABAD HYDERABAD 500034",4023555492,Direct Broker (Life & General),B.Nagasekhara Rao,06-Aug-2018,05-Aug-2021,sr_brokers@rediffmail.com
69,202,,Anar Insurance Brokers Ltd,"301, 3RD FLOOR CHUNILAL CHAMBERS  CHOICE RESTAURANT LANE NAVRANGPURA AHMEDABAD AHMEDABAD 380009",7600767676,Direct Broker (Life & General),HARDI JANI,13-Aug-2018,12-Aug-2021,po_anar@anarinsurance.com
70,203,,Sriyah Insurance Brokers  Pvt. Ltd.,"14/2, Ground Floor 40th Cross,8th Main,5th Block Jayangar  Bengaluru BANGALORE SOUTH BANGALORE 560041",8041158163,Direct Broker (Life & General),B.R.MURALIDHAR,27-Aug-2018,26-Aug-2021,po_sriyah@sriyah.in
71,205,,RIA Ins. Brokers Pvt. Ltd.,"OM PLAZA (1ST FLOOR ), 430/7 SANT NAGAR EAST OF KAILASH NEW DELHI EAST OF KAILSH   NEW DELHI NEW DELHI 110065",9810090853,Direct Broker (Life & General),AMIT SHANKER CHATTERJEE,28-Aug-2018,27-Aug-2021,po_ria@surekhae.com
72,206,,Shreyash Ins. Brokers Pvt. Ltd.,OPPOSITE VIDHYA SAGAR INSTITUTE OF MENTAL SECINCE AMRITSER   AMRITSAR AMRITSAR 143001,1615083000,Direct Broker (Life & General),ARADHNA SHUKLA,28-Aug-2018,27-Aug-2021,po_shreyash@hotmail.com
73,209,,Willis Towers Watson India Insurance Brokers Pvt. Ltd,"2nd Floor, Sucheta Bhawan, 11-A, Vishnu Digamber Marg, Rouse Avenue Lane, New Delhi   NEW DELHI NEW DELHI 110002",9811019684,Composite Broker,Vijay Kumar Suri,29-Aug-2018,28-Aug-2021,po_almondzin@almondz.com
74,210,,Synergy Ins. Broking Services Pvt. Ltd.,"201, Umarji House Teli Gally  Andheri East MUMBAI MUMBAI 400069",9821244558,Direct Broker (Life & General),PRANAV SHAH,29-Aug-2018,28-Aug-2021,po_synergy@synergy-insurance.com
75,212,,Sridhar Ins. Broker Pvt. Ltd.,"SCO-845, 1ST FLOOR NAC MANIMAJRA  CHANDIGARH CHANDIGARH CHANDIGARH 160101",9915784194,Composite Broker,TAPASYA SETHI -DIRECTOR,19-Sep-2018,18-Sep-2021,po_sridhar@sibindiaonline.com
76,213,,Royal Ins. Broking (India) Pvt. Ltd.,"A-2/105,2nd Floor Janakpuri New Delhi   NEW DELHI NEW DELHI 110058",9899094440,Direct Broker (General),Amita Arora,22-Sep-2018,21-Sep-2021,account@royalbima.in
77,214,,Key Ins. Brokers Pvt. Ltd.,"House No. 11 2nd Floor, BLK 3B  Ramesh Nagar NEW DELHI WEST DELHI 110015",9958905888,Direct Broker (General),SUNITA GARG,25-Sep-2018,24-Sep-2021,po_kibpl@keyinsurance.net
78,215,,Futurance India Insurance Brokers Pvt. Ltd.,"NO.3C, FIRST FLOOR, LAKSHMI PURAM  TENNUR TRICHY TIRUCHIRAPPALLI 620017",9443376730,Direct Broker (General),C.V.Narayanan,06-Oct-2018,05-Oct-2021,futurance@gmail.com
79,216,,Landmark Insurance Brokers Pvt Ltd.,"1187/22, 4th Floor Venkatesh Meher, Ghole Road  Pune, Maharashtra PUNE PUNE 411050",9823595656,Direct Broker (Life & General),SUSHEEL TEJUJA,13-Oct-2018,12-Oct-2021,po_landmark@policyboss.com
80,217,,Alliance Ins. Brokers Pvt. Ltd.,801 08th floor gold crest NS Road No 10  Juhu Vileparle West MUMBAI MUMBAI 400049,9167214166,Composite Broker,Shashikant V Thakkar,13-Oct-2018,12-Oct-2021,po_alliance@allianceinsurance.in
81,218,,Kare India Ins. Brokers Pvt. Ltd.,"219, Second Floor Vats Market , Pitam Pura  New Delhi-110034     110034",9811862140,Direct Broker (Life & General),Mr. Lalit Dhingra,17-Oct-2018,16-Oct-2021,lalit@kareindia.com
82,219,,Exclusive Ins. Broking Services Ltd.,105-c block 1st floor silver mall  8-A RNT MARG INDORE INDORE 452001,9302102225,Direct Broker (Life & General),RAMESH HURKAT,22-Oct-2018,21-Oct-2021,eibsl_indore@yahoo.com
83,221,,Indian Insurance Broking Service,TWENTY FOUR RAJA RAO STREET  TIRUPUR TIRUPPUR TIRUPPUR 641601,4212200994,Direct Broker (General),AVINASH K,22-Oct-2018,21-Oct-2021,po_indianinsurancebrokingservice@yahoo.in
84,222,,Way2wealth Insurance Brokers Pvt. Ltd.,"4thFloor, Rukmini Towers No. 3/1,Platform Road  Sheshadripuram BANGALORE BANGALORE 560020",7353316206,Direct Broker (Life & General),SHANTANU R BHARADWAJ,22-Oct-2018,21-Oct-2021,po_w2wib@way2wealth.com
85,223,,Mohur Insurance Broking and Services Pvt. Ltd.),1401 RAHEJA CENTRE FREEPRESS JOURNAL MARG  NARIMAN POINT MUMBAI MUMBAI 400021,9820152731,Direct Broker (Life & General),AVINASH MANOHAR BHAKAY,24-Oct-2018,23-Oct-2021,advisor@mohur.com
86,225,,Inditrade Insurance Broking Pvt. Ltd.,"INDITRADE INSURANCE BROKING PRIVATE LTD SECOND FLOOR  MES BUILDING,KALOOR, KOCHI KOCHI ERNAKULAM 682017",4846714825,Direct Broker (Life & General),V K VIJAYAKUMARAN,31-Oct-2018,30-Oct-2021,insurance@inditrade.com
87,227,,Axiom Ins Brokers Pvt. Ltd.,A-3/2 Gillander House  8 N S Road CALCUTTA CALCUTTA 700001,3340056979,Direct Broker (General),MRS.LIPI ROYCHOWDHURY,03-Dec-2018,02-Dec-2021,po_axiom@axiom.net.in
88,229,,Novelty Insurance Brokers Ltd,"3rd Floor, Shakti Tower Above Vishal Mega Mart  BMC Chowk JALANDHAR JALANDHAR 144001",1814667544,Direct Broker (Life & General),KASTURI LAL BHAGAT,11-Dec-2018,10-Dec-2021,noveltyinsurance@yahoo.com
89,233,,Kalptaru Ins. Brokers Ltd.,"Seven Zero One Avdhesh  Opp. Gurudwara, Thalthej AHMEDABAD AHMEDABAD 380054",7926855779,Direct Broker (General),Ruby Patawari,12-Dec-2018,11-Dec-2021,po_kalptaru@kalptaru.co.in
90,236,,Capital Insurance Brokers Pvt Ltd,"703, 7th FLOOR , B-09, ITL TWIN TOWER NETAJI SUBHASH PLACE, PITAMPURA  DELHI DELHI NORTH WEST DELHI 110034",9417418245,Direct Broker (General),DR RAMESH KUMAR KOUL,30-Dec-2018,29-Dec-2021,po_Capital@capitalinsurance.co.in
91,237,,Pearl Ins. Broker Pvt. Ltd.,"207, Ganpati Plaza,M.I. Road, Ganpati Plaza  MI Road JAIPUR JAIPUR 302001",9983300881,Direct Broker (Life & General),RC Patnaik,30-Dec-2018,29-Dec-2021,po_pearl@pearlinsurancebroker.com
92,238,,International  Reinsurance & Insurance Consultancy Services Pvt. Ltd.,45 Tata Colony G D Ambekar Marg  Parel East MUMBAI MUMBAI 400012,0222418018,Composite Broker,Raiomond F Poncha,30-Dec-2018,29-Dec-2021,po_iricbs@irics.co.in
93,240,,Integrated Risk Ins. Brokers Ltd.,"SCO 201-203, THIRD FLOOR, SECTOR 34A, CHANDIGARH        ",,Direct Broker (Life & General),Chintan Prakash Adva,05-Jan-2019,04-Jan-2022,info@iribl.com
94,241,,Bajaj Capital Ins. Broking Ltd.,"Bajaj House 97, Nehru Place  New Delhi SOUTH DELHI SOUTH DELHI 110019",1141693000,Composite Broker,Vinod Sahgal,09-Jan-2019,08-Jan-2022,po_bajajcapital@bajajcapital.com
95,243,,L & G Ins. Brokers Ltd.,"30, PARKASH NAGAR, MODEL TOWN,  JALANDHAR JALANDHAR JALANDHAR 144003",9815229753,Direct Broker (Life & General),DEEPAK KAUL,11-Feb-2019,10-Feb-2022,landginsurance@gmail.com
96,244,,United Risk Ins. Broking Co. Pvt. Ltd.,"Office # 5, Second Floor, Nandadeep Apartments,  Opposite BMCC College Ground. PUNE PUNE 411004",9422772479,Direct Broker (General),Shreepad R Lele,19-Feb-2019,18-Feb-2022,po_urib@unitedrisk.net
97,245,,New Era Insurance Broking Services Pvt. Ltd,8-2-293/82/A Plot No 739-A  Jubilee Hills HYDERABAD HYDERABAD 500033,9396505050,Direct Broker (General),V DATTATREYA SARMA,19-Feb-2019,18-Feb-2022,newerainsurance@gmail.com
98,246,,ACE Ins. Brokers Pvt. Ltd.,"B-17 ASHADEEP BUILDING,  9, HAILEY ROAD NEW DELHI CENTRAL DELHI 110001",1123713898,Composite Broker,Mr. Ashok Kumar Dixit,19-Feb-2019,18-Feb-2022,mail@aceinsurance.com
